start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:20:06,11:20:14,11:20:10,1210,1206,8,1,0,0
11:20:30,11:22:03,11:21:16,1276,1230,93,1,1,0
12:41:48,12:43:04,12:42:26,6146,6108,76,1,1,0
12:43:12,12:43:29,12:43:20,6200,6192,17,1,0,0
12:52:03,12:52:45,12:52:24,6744,6723,42,1,1,0
12:57:22,13:00:08,12:58:45,7125,7042,166,1,1,0
13:04:43,13:13:13,13:08:58,7738,7483,510,1,1,1
13:13:14,13:20:36,13:16:55,8215,7994,442,0,1,1
13:20:37,13:20:54,13:20:45,8445,8437,17,1,1,1
13:20:55,13:21:27,13:21:11,8471,8455,32,0,1,1
13:21:28,13:21:45,13:21:36,8496,8488,17,1,1,1
13:21:46,13:23:30,13:22:38,8558,8506,104,0,1,1
13:46:47,13:47:37,13:47:12,10032,10007,50,1,1,1
13:47:38,13:49:28,13:48:33,10113,10058,110,0,1,1
13:53:54,14:01:55,13:57:54,10674,10434,481,0,1,2
14:01:56,14:03:04,14:02:30,10950,10916,68,1,1,2
14:03:05,14:08:46,14:05:55,11155,10985,341,0,1,2
14:08:47,14:09:13,14:09:00,11340,11327,26,1,1,2
14:09:14,14:11:17,14:10:15,11415,11354,123,0,1,2
14:11:18,14:12:25,14:11:51,11511,11478,67,1,1,2
14:12:26,14:12:58,14:12:42,11562,11546,32,0,1,2
14:12:59,14:14:56,14:13:57,11637,11579,117,1,1,2
14:14:57,14:15:04,14:15:00,11700,11697,7,0,1,2
14:15:05,14:16:12,14:15:38,11738,11705,67,1,1,2
14:16:13,14:17:10,14:16:41,11801,11773,57,0,1,2
14:17:11,14:18:26,14:17:48,11868,11831,75,1,1,2
14:18:27,14:18:50,14:18:38,11918,11907,23,0,1,2
14:18:51,14:19:16,14:19:03,11943,11931,25,1,1,2
14:19:17,14:20:06,14:19:41,11981,11957,49,0,1,2
14:20:07,14:23:28,14:21:47,12107,12007,201,1,1,2
14:23:29,14:24:59,14:24:14,12254,12209,90,0,1,2
14:25:00,14:25:09,14:25:04,12304,12300,9,1,1,2
14:25:10,14:25:33,14:25:21,12321,12310,23,0,1,2
14:25:34,14:25:51,14:25:42,12342,12334,17,1,1,2
14:25:52,14:26:23,14:26:07,12367,12352,31,0,1,2
14:26:24,14:26:49,14:26:36,12396,12384,25,1,1,2
14:26:50,14:26:57,14:26:53,12413,12410,7,0,1,2
14:26:58,14:27:31,14:27:14,12434,12418,33,1,1,2
14:27:32,14:28:46,14:28:09,12489,12452,74,0,1,2
14:28:47,14:29:04,14:28:55,12535,12527,17,1,1,2
14:29:04,14:29:32,14:29:18,12558,12544,28,0,1,2
14:30:01,14:30:18,14:30:09,12609,12601,17,1,1,3
14:30:19,14:31:05,14:30:42,12642,12619,46,0,1,3
14:31:06,14:31:14,14:31:10,12670,12666,8,1,1,3
14:31:15,14:38:32,14:34:53,12893,12675,437,0,1,3
14:38:33,14:38:50,14:38:41,13121,13113,17,1,1,3
14:38:51,14:40:30,14:39:40,13180,13131,99,0,1,3
14:41:10,14:43:58,14:42:34,13354,13270,168,1,1,0
14:44:31,14:44:40,14:44:35,13475,13471,9,1,0,0
16:11:43,16:11:51,16:11:47,18707,18703,8,1,0,0
17:19:29,17:22:13,17:20:51,22851,22769,164,1,1,4
17:22:14,17:59:25,17:40:49,24049,22934,2231,0,1,4
