start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:24:50,11:25:06,11:24:58,1498,1490,16,1,0,0
11:25:15,11:25:24,11:25:19,1519,1515,9,1,0,0
11:25:32,11:27:48,11:26:40,1600,1532,136,0,1,0
12:38:46,12:51:04,12:44:55,6295,5926,738,1,1,1
12:51:05,12:51:12,12:51:08,6668,6665,7,0,1,1
12:51:13,12:58:29,12:54:51,6891,6673,436,1,1,1
12:58:30,12:58:37,12:58:33,7113,7110,7,0,1,1
12:58:38,13:02:41,13:00:39,7239,7118,243,1,1,1
13:02:42,13:06:18,13:04:30,7470,7362,216,0,1,1
13:06:19,13:07:26,13:06:52,7612,7579,67,1,1,1
13:07:27,13:08:40,13:08:03,7683,7647,73,0,1,1
13:08:41,13:12:53,13:10:47,7847,7721,252,1,1,1
13:12:54,13:13:00,13:12:57,7977,7974,6,0,1,1
13:13:01,13:13:18,13:13:09,7989,7981,17,1,1,1
13:13:19,13:13:26,13:13:22,8002,7999,7,0,1,1
13:13:27,13:14:26,13:13:56,8036,8007,59,1,1,1
13:14:27,13:14:32,13:14:29,8069,8067,5,0,1,1
13:14:33,13:14:51,13:14:42,8082,8073,18,1,1,1
13:14:52,13:15:06,13:14:59,8099,8092,14,0,1,1
13:15:07,13:19:02,13:17:04,8224,8107,235,1,1,1
13:19:03,13:19:09,13:19:06,8346,8343,6,0,1,1
13:19:10,13:25:11,13:22:10,8530,8350,361,1,1,1
13:25:12,13:26:59,13:26:05,8765,8712,107,0,1,1
13:27:00,13:27:58,13:27:29,8849,8820,58,1,1,1
13:28:24,13:30:05,13:29:14,8954,8904,101,1,1,0
13:41:07,13:42:32,13:41:49,9709,9667,85,1,1,0
13:42:39,13:57:37,13:50:08,10208,9759,898,1,1,0
13:58:19,13:58:36,13:58:27,10707,10699,17,1,0,0
14:15:31,14:16:38,14:16:04,11764,11731,67,1,1,0
14:16:54,14:17:27,14:17:10,11830,11814,33,1,1,0
14:17:44,14:18:02,14:17:53,11873,11864,18,1,1,2
14:18:03,14:18:25,14:18:14,11894,11883,22,0,1,2
14:18:26,14:18:43,14:18:34,11914,11906,17,1,1,2
14:18:44,14:22:12,14:20:28,12028,11924,208,0,1,2
14:22:13,14:22:21,14:22:17,12137,12133,8,1,1,2
14:22:22,14:22:37,14:22:29,12149,12142,15,0,1,2
14:22:38,14:22:47,14:22:42,12162,12158,9,1,1,2
14:22:48,14:24:27,14:23:37,12217,12168,99,0,1,2
14:24:28,14:24:35,14:24:31,12271,12268,7,1,1,2
14:24:36,14:34:31,14:29:33,12573,12276,595,0,1,2
14:37:43,14:37:52,14:37:47,13067,13063,9,1,1,0
14:39:59,14:40:21,14:40:10,13210,13199,22,0,0,0
15:02:20,15:06:48,15:04:34,14674,14540,268,1,1,0
