start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:26:24,11:27:34,11:26:59,1619,1584,70,0,1,0
12:36:01,12:36:18,12:36:09,5769,5761,17,1,0,0
12:36:26,12:39:30,12:37:58,5878,5786,184,1,1,0
12:39:39,12:44:49,12:42:14,6134,5979,310,1,1,1
12:44:50,12:44:57,12:44:53,6293,6290,7,0,1,1
12:44:58,12:48:02,12:46:30,6390,6298,184,1,1,1
12:48:03,12:48:34,12:48:18,6498,6483,31,0,1,1
12:48:35,12:49:01,12:48:48,6528,6515,26,1,1,1
12:49:02,12:49:17,12:49:09,6549,6542,15,0,1,1
12:49:18,12:49:59,12:49:38,6578,6558,41,1,1,1
12:49:59,12:50:23,12:50:11,6611,6599,24,0,1,1
12:50:24,12:50:41,12:50:32,6632,6624,17,1,1,1
12:50:42,12:50:49,12:50:45,6645,6642,7,0,1,1
12:50:50,12:52:30,12:51:40,6700,6650,100,1,1,1
12:52:31,12:52:46,12:52:38,6758,6751,15,0,1,1
12:52:47,12:52:56,12:52:51,6771,6767,9,1,1,1
12:52:57,12:53:02,12:52:59,6779,6777,5,0,1,1
12:53:03,12:53:12,12:53:07,6787,6783,9,1,1,1
12:53:13,12:54:02,12:53:37,6817,6793,49,0,1,1
12:54:03,12:54:11,12:54:07,6847,6843,8,1,1,1
12:54:12,12:54:27,12:54:19,6859,6852,15,0,1,1
12:54:28,12:55:01,12:54:44,6884,6868,33,1,1,1
12:55:02,12:57:39,12:56:20,6980,6902,157,0,1,1
12:57:40,13:02:34,13:00:07,7207,7060,294,1,1,1
13:02:35,13:08:00,13:05:17,7517,7355,325,0,1,1
13:08:01,13:12:05,13:10:03,7803,7681,244,1,1,1
13:12:06,13:12:20,13:12:13,7933,7926,14,0,1,1
13:12:21,13:12:55,13:12:38,7958,7941,34,1,1,1
13:12:56,13:13:01,13:12:58,7978,7976,5,0,1,1
13:13:02,13:13:45,13:13:23,8003,7982,43,1,1,1
13:13:46,13:13:52,13:13:49,8029,8026,6,0,1,1
13:13:53,13:14:27,13:14:10,8050,8033,34,1,1,1
13:14:28,13:14:34,13:14:31,8071,8068,6,0,1,1
13:14:35,13:15:09,13:14:52,8092,8075,34,1,1,1
13:15:10,13:15:24,13:15:17,8117,8110,14,0,1,1
13:15:25,13:15:34,13:15:29,8129,8125,9,1,1,1
13:15:35,13:15:58,13:15:46,8146,8135,23,0,1,1
13:15:59,13:19:04,13:17:31,8251,8159,185,1,1,1
13:19:05,13:19:10,13:19:07,8347,8345,5,0,1,1
13:19:11,13:22:00,13:20:35,8435,8351,169,1,1,1
13:22:01,13:23:40,13:22:50,8570,8521,99,0,1,1
13:23:41,13:25:13,13:24:27,8667,8621,92,1,1,1
13:25:14,13:27:20,13:26:17,8777,8714,126,0,1,1
13:29:12,13:30:08,13:29:40,8980,8952,56,0,1,0
13:30:34,13:32:16,13:31:25,9085,9034,102,0,1,0
13:34:25,13:37:31,13:35:58,9358,9265,186,1,1,0
13:43:22,13:51:53,13:47:37,10057,9802,511,0,1,2
13:51:54,13:57:29,13:54:41,10481,10314,335,1,1,2
13:57:30,13:58:19,13:57:54,10674,10650,49,0,1,2
13:58:20,13:58:29,13:58:24,10704,10700,9,1,1,2
13:58:30,13:58:35,13:58:32,10712,10710,5,0,1,2
13:58:36,13:58:45,13:58:40,10720,10716,9,1,1,2
13:58:46,13:59:09,13:58:57,10737,10726,23,0,1,2
13:59:10,13:59:27,13:59:18,10758,10750,17,1,1,2
13:59:28,13:59:35,13:59:31,10771,10768,7,0,1,2
13:59:36,13:59:52,13:59:44,10784,10776,16,1,1,2
14:01:49,14:02:15,14:02:02,10922,10909,26,0,0,0
14:17:47,14:34:31,14:26:09,12369,11867,1004,0,1,0
14:37:44,14:38:18,14:38:01,13081,13064,34,1,1,0
14:38:26,14:39:09,14:38:47,13127,13106,43,1,1,0
14:39:55,14:40:31,14:40:13,13213,13195,36,0,1,0
14:41:15,14:41:23,14:41:19,13279,13275,8,1,0,0
