start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:43:24,10:44:56,10:44:10,-950,-996,92,1,1,0
10:45:38,10:46:29,10:46:03,-837,-862,51,1,1,0
11:07:01,11:07:10,11:07:05,425,421,9,1,0,0
12:02:55,12:03:29,12:03:12,3792,3775,34,1,1,0
12:05:08,12:05:40,12:05:24,3924,3908,32,0,1,0
12:11:11,12:11:18,12:11:14,4274,4271,7,1,0,0
13:15:28,13:15:53,13:15:40,8140,8128,25,1,0,0
13:17:34,13:18:04,13:17:49,8269,9254,30,0,1,0
13:21:54,13:22:11,13:22:02,8522,8514,17,1,0,0
13:22:20,13:24:09,13:23:14,8594,8540,109,1,1,0
13:24:30,13:26:20,13:25:25,8725,8670,110,0,1,0
13:45:15,13:46:39,13:45:57,9957,9915,84,1,1,0
13:47:26,13:48:54,13:48:10,10090,10046,88,0,1,0
13:57:41,14:15:09,14:06:25,11185,10661,1048,1,1,1
14:15:10,14:17:17,14:16:13,11773,11710,127,0,1,1
14:28:09,14:29:25,14:28:47,12527,12489,76,1,1,0
14:30:23,14:31:39,14:31:01,12661,12623,76,0,1,0
14:52:54,14:54:17,14:53:35,14015,13974,83,1,1,0
14:55:05,14:56:29,14:55:47,14147,14105,84,0,1,0
15:13:02,15:13:10,15:13:06,15186,15182,8,1,0,0
