start,end,mid,size,startsize,length_size,auto,halfmin,connected
12:38:14,12:39:54,12:39:04,5944,5894,100,0,1,1
12:39:55,12:40:12,12:40:03,6003,5995,17,1,1,1
12:40:13,12:40:19,12:40:16,6016,6013,6,0,1,1
12:40:20,12:40:45,12:40:32,6032,6020,25,1,1,1
12:40:46,12:40:53,12:40:49,6049,6046,7,0,1,1
12:40:54,12:41:28,12:41:11,6071,6054,34,1,1,1
12:41:29,12:41:30,12:41:29,6089,6089,1,0,1,1
12:41:31,12:43:41,12:42:36,6156,6091,130,1,1,1
12:43:42,12:44:14,12:43:58,6238,6222,32,0,1,1
12:44:15,12:44:32,12:44:23,6263,6255,17,1,1,1
12:44:33,12:44:48,12:44:40,6280,6273,15,0,1,1
12:44:49,12:45:06,12:44:57,6297,6289,17,1,1,1
12:45:07,12:45:13,12:45:10,6310,6307,6,0,1,1
12:45:14,12:46:05,12:45:39,6339,6314,51,1,1,1
12:46:06,12:46:19,12:46:12,6372,6366,13,0,1,1
12:46:20,12:46:55,12:46:37,6397,6380,35,1,1,1
12:46:56,12:47:10,12:47:03,6423,6416,14,0,1,1
12:47:11,12:47:45,12:47:28,6448,6431,34,1,1,1
12:47:46,12:48:01,12:47:53,6473,6466,15,0,1,1
12:48:02,12:48:10,12:48:06,6486,6482,8,1,1,1
12:48:11,12:48:17,12:48:14,6494,6491,6,0,1,1
12:48:18,12:49:01,12:48:39,6519,6498,43,1,1,1
12:49:02,12:49:16,12:49:09,6549,6542,14,0,1,1
12:49:17,12:49:26,12:49:21,6561,6557,9,1,1,1
12:49:27,12:49:32,12:49:29,6569,6567,5,0,1,1
12:49:33,12:50:33,12:50:03,6603,6573,60,1,1,1
12:50:34,12:50:40,12:50:37,6637,6634,6,0,1,1
12:50:41,12:50:50,12:50:45,6645,6641,9,1,1,1
12:50:51,12:50:57,12:50:54,6654,6651,6,0,1,1
12:50:58,12:51:31,12:51:14,6674,6658,33,1,1,1
12:51:32,12:51:47,12:51:39,6699,6692,15,0,1,1
12:51:48,12:53:21,12:52:34,6754,6708,93,1,1,1
12:53:22,12:53:37,12:53:29,6809,6802,15,0,1,1
12:53:38,12:53:43,12:53:40,6820,6818,5,1,1,1
12:53:44,12:54:10,12:53:57,6837,6824,26,0,1,1
12:54:11,12:54:45,12:54:28,6868,6851,34,1,1,1
12:54:46,12:54:51,12:54:48,6888,6886,5,0,1,1
12:54:52,12:59:13,12:57:02,7022,6892,261,1,1,1
12:59:14,12:59:20,12:59:17,7157,7154,6,0,1,1
12:59:21,13:02:18,13:00:49,7249,7161,177,1,1,1
13:02:19,13:02:25,13:02:22,7342,7339,6,0,1,1
13:02:26,13:02:43,13:02:34,7354,7346,17,1,1,1
13:02:44,13:03:49,13:03:16,7396,7364,65,0,1,1
13:03:50,13:04:48,13:04:19,7459,7430,58,1,1,1
13:04:49,13:04:56,13:04:52,7492,7489,7,0,1,1
13:04:57,13:05:31,13:05:14,7514,7497,34,1,1,1
13:05:32,13:05:38,13:05:35,7535,7532,6,0,1,1
13:05:39,13:05:47,13:05:43,7543,7539,8,1,1,1
13:05:46,13:05:55,13:05:50,7550,7546,9,0,1,1
13:05:56,13:06:04,13:06:00,7560,7556,8,1,1,1
13:06:05,13:06:11,13:06:08,7568,7565,6,0,1,1
13:06:12,13:06:29,13:06:20,7580,7572,17,1,1,1
13:06:30,13:07:19,13:06:54,7614,7590,49,0,1,1
13:07:20,13:08:10,13:07:45,7665,7640,50,1,1,1
13:08:11,13:08:17,13:08:14,7694,7691,6,0,1,1
13:08:18,13:08:44,13:08:31,7711,7698,26,1,1,1
13:09:00,13:09:26,13:09:13,7753,7740,26,1,1,0
13:09:34,13:09:42,13:09:38,7778,7774,8,1,0,0
13:10:14,13:10:40,13:10:27,7827,7814,26,0,1,2
13:10:41,13:11:23,13:11:02,7862,7841,42,1,1,2
13:11:24,13:12:04,13:11:44,7904,7884,40,0,1,2
13:12:05,13:12:55,13:12:30,7950,7925,50,1,1,2
13:12:56,13:13:28,13:13:12,7992,7976,32,0,1,2
13:13:29,13:13:37,13:13:33,8013,8009,8,1,1,2
13:13:38,13:14:01,13:13:49,8029,8018,23,0,1,2
