start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:15:44,11:19:10,11:17:27,1047,944,206,1,1,0
11:38:08,11:40:43,11:39:25,2365,2288,155,1,1,0
11:42:45,11:43:10,11:42:57,2577,2565,25,1,0,0
11:49:06,11:49:22,11:49:14,2954,2946,16,1,0,0
11:55:39,11:56:55,11:56:17,3377,3339,76,1,1,0
12:04:25,12:05:49,12:05:07,3907,3865,84,1,1,1
12:05:50,12:06:13,12:06:01,3961,3950,23,0,1,1
12:06:14,12:06:39,12:06:26,3986,3974,25,1,1,1
12:07:38,12:08:18,12:07:58,4078,4058,40,0,1,0
12:14:26,12:14:43,12:14:34,4474,4466,17,1,0,0
12:16:58,12:18:08,12:17:33,4653,4618,70,0,1,0
12:18:38,12:19:03,12:18:50,4730,4718,25,1,0,0
12:19:20,12:29:20,12:24:20,5060,4760,600,1,1,2
12:29:21,12:37:14,12:33:17,5597,5361,473,0,1,2
12:44:14,12:51:27,12:47:50,6470,6254,433,1,1,3
12:51:28,13:10:22,13:00:55,7255,6688,1134,0,1,3
13:11:06,13:11:34,13:11:20,7880,7866,28,0,0,0
13:28:53,13:30:16,13:29:34,8974,8933,83,1,1,0
13:30:33,13:30:50,13:30:41,9041,9033,17,1,0,0
13:32:27,13:33:00,13:32:43,9163,9147,33,1,1,0
13:35:59,13:37:15,13:36:37,9397,9359,76,1,1,0
13:45:52,13:48:20,13:47:06,10026,9952,148,1,1,0
13:50:36,13:50:52,13:50:44,10244,10236,16,1,0,0
15:03:17,15:04:08,15:03:42,14622,14597,51,1,1,0
15:04:16,15:05:57,15:05:06,14706,14656,101,1,1,0
15:06:22,15:06:39,15:06:30,14790,14782,17,1,0,0
15:07:21,15:08:11,15:07:46,14866,14841,50,1,1,0
15:08:44,15:11:46,15:10:15,15015,14924,182,1,1,0
