start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:15:24,11:20:51,11:18:07,1087,924,327,1,1,0
11:49:12,11:51:18,11:50:15,3015,2952,126,1,1,0
12:04:32,12:05:53,12:05:12,3912,3872,81,0,1,1
12:05:54,12:06:20,12:06:07,3967,3954,26,1,1,1
12:14:14,12:14:50,12:14:32,4472,4454,36,0,1,0
12:17:56,12:18:20,12:18:08,4688,4676,24,0,0,0
12:20:39,12:21:29,12:21:04,4864,4839,50,1,1,0
12:44:08,12:57:55,12:51:01,6661,6248,827,1,1,2
12:57:56,13:06:15,13:02:05,7325,7076,499,0,1,2
13:06:16,13:06:41,13:06:28,7588,7576,25,1,1,2
13:06:42,13:09:03,13:07:52,7672,7602,141,0,1,2
13:09:04,13:09:21,13:09:12,7752,7744,17,1,1,2
13:09:22,13:10:22,13:09:52,7792,7762,60,0,1,2
13:32:10,13:44:17,13:38:13,9493,9130,727,1,1,0
13:44:25,13:44:50,13:44:37,9877,9865,25,1,0,0
13:50:17,13:52:58,13:51:37,10297,10217,161,1,1,0
14:14:14,14:14:31,14:14:22,11662,11654,17,1,0,0
15:20:10,15:21:11,15:20:40,15640,15610,61,1,1,0
