start,end,mid,size,startsize,length_size,auto,halfmin,connected
12:18:36,12:18:56,12:18:46,4726,4716,20,0,0,0
12:19:03,12:27:10,12:23:06,4986,4743,487,1,1,0
12:44:10,12:46:47,12:45:28,6328,6250,157,1,1,1
12:46:48,13:10:24,12:58:36,7116,6408,1416,0,1,1
13:19:35,13:20:35,13:20:05,8405,8375,60,1,1,0
13:42:28,13:44:09,13:43:18,9798,9748,101,1,1,2
13:44:10,13:44:50,13:44:30,9870,9850,40,0,1,2
13:44:51,13:45:25,13:45:08,9908,9891,34,1,1,2
13:45:26,13:45:40,13:45:33,9933,9926,14,0,1,2
13:45:41,13:45:50,13:45:45,9945,9941,9,1,1,2
13:45:51,13:46:06,13:45:58,9958,9951,15,0,1,2
13:46:07,13:46:49,13:46:28,9988,9967,42,1,1,2
13:46:50,13:51:37,13:49:13,10153,10010,287,0,1,2
13:51:38,13:51:55,13:51:46,10306,10298,17,1,1,2
13:51:56,13:52:03,13:51:59,10319,10316,7,0,1,2
13:52:04,13:53:04,13:52:34,10354,10324,60,1,1,2
13:53:05,13:55:20,13:54:12,10452,10385,135,0,1,2
14:05:46,14:08:09,14:06:57,11217,11146,143,1,1,3
14:08:10,14:08:16,14:08:13,11293,11290,6,0,1,3
14:08:17,14:09:58,14:09:07,11347,11297,101,1,1,3
14:09:59,14:10:05,14:10:02,11402,11399,6,0,1,3
14:10:06,14:12:29,14:11:17,11477,11406,143,1,1,3
14:12:30,14:16:00,14:14:15,11655,11550,210,0,1,3
15:01:10,15:02:22,15:01:46,14506,14470,72,0,1,4
15:02:23,15:03:05,15:02:44,14564,14543,42,1,1,4
15:03:06,15:03:28,15:03:17,14597,14586,22,0,1,4
15:10:34,15:11:08,15:10:51,15051,15034,34,1,1,0
15:58:54,16:00:33,15:59:43,17983,17934,99,1,1,0
16:51:04,16:51:22,16:51:13,21073,21064,18,1,0,0
16:51:30,16:52:34,16:52:02,21122,21090,64,1,1,0
16:55:37,16:56:28,16:56:02,21362,21337,51,1,1,0
16:56:45,16:57:02,16:56:53,21413,21405,17,1,0,0
16:58:01,16:58:09,16:58:05,21485,21481,8,1,0,0
