start,end,mid,size,startsize,length_size,auto,halfmin,connected
12:05:10,12:08:32,12:06:51,4011,3910,202,0,1,0
12:14:16,12:15:08,12:14:42,4482,4456,52,0,1,0
12:15:32,12:16:26,12:15:59,4559,4532,54,0,1,0
12:23:12,12:25:38,12:24:25,5065,4992,146,0,1,0
12:26:00,12:29:38,12:27:49,5269,5160,218,0,1,0
12:29:42,12:33:58,12:31:50,5510,5382,256,0,1,0
12:34:22,12:37:18,12:35:50,5750,5662,176,0,1,0
12:44:16,13:10:30,12:57:23,7043,6256,1574,0,1,0
13:42:36,13:55:20,13:48:58,10138,9756,764,0,1,0
15:02:02,15:03:28,15:02:45,14565,14522,86,0,1,0
