start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:46:19,10:52:07,10:49:13,-647,-821,348,0,1,0
12:03:39,12:04:21,12:04:00,3840,3819,42,0,1,0
13:08:19,13:09:44,13:09:01,7741,7699,85,1,1,0
13:46:20,13:50:33,13:48:26,10106,9980,253,1,1,0
14:16:30,14:16:55,14:16:42,11802,11790,25,1,0,0
14:17:52,14:18:36,14:18:14,11894,11872,44,1,1,1
14:18:37,14:18:45,14:18:41,11921,11917,8,0,1,1
14:19:28,14:20:16,14:19:52,11992,11968,48,1,1,2
14:20:17,14:22:44,14:21:30,12090,12017,147,0,1,2
14:22:45,14:23:37,14:23:11,12191,12165,52,1,1,2
14:23:38,14:24:45,14:24:11,12251,12218,67,0,1,2
