start,end,mid,size,startsize,length_size,auto,halfmin,connected
18:49:23,18:51:00,18:50:11,28211,28163,97,0,1,0
17:20:43,17:33:10,17:26:56,23216,22843,747,0,1,0
15:21:34,15:35:54,15:28:44,16124,15694,860,0,1,0
14:57:54,14:59:30,14:58:42,14322,14274,96,0,1,0
14:55:38,14:56:48,14:56:13,14173,14138,70,0,1,0
14:45:36,14:46:00,14:45:48,13548,13536,24,0,1,0
14:40:30,14:43:54,14:42:12,13332,13230,204,0,1,0
14:06:26,14:06:56,14:06:41,11201,11186,30,0,1,0
13:53:30,13:54:06,13:53:48,10428,10410,36,0,1,0
13:47:06,13:47:50,13:47:28,10048,10026,44,0,1,0
13:04:40,13:05:44,13:05:12,7512,7480,64,0,1,0
13:02:16,13:03:58,13:03:07,7387,7336,102,0,1,0
12:48:40,12:59:48,12:54:14,6854,6820,668,0,1,0
12:33:20,12:35:56,12:34:38,5678,5600,156,0,1,0
12:29:32,12:30:46,12:30:09,5409,5372,74,0,1,0
12:23:18,12:23:50,12:23:34,5014,4998,32,0,1,0
11:42:20,11:42:52,11:42:36,2556,2540,32,0,1,0
