start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:59:56,11:01:16,11:00:36,36,-4,80,0,1,0
11:01:22,11:01:38,11:01:30,90,82,16,1,1,1
11:01:39,11:02:44,11:02:11,131,99,65,0,1,1
11:03:50,11:05:30,11:04:40,280,230,100,0,1,0
11:50:26,11:51:43,11:51:04,3064,3026,77,1,1,2
11:51:44,11:53:37,11:52:40,3160,3104,113,0,1,2
11:53:38,11:54:03,11:53:50,3230,3218,25,1,1,2
11:54:04,11:54:10,11:54:07,3247,3244,6,0,1,2
11:54:11,11:55:27,11:54:49,3289,3251,76,1,1,2
11:55:28,11:55:50,11:55:39,3339,3328,22,0,1,2
13:25:48,13:26:30,13:26:09,8769,8748,42,1,1,0
13:30:25,13:30:33,13:30:29,9029,9025,8,1,0,0
13:30:57,13:31:13,13:31:05,9065,9057,16,1,0,0
13:33:00,13:33:40,13:33:20,9200,9180,40,0,1,0
13:35:02,13:35:22,13:35:12,9312,9302,20,0,0,0
13:35:48,13:36:04,13:35:56,9356,9348,16,0,0,0
13:40:36,13:41:00,13:40:48,9648,9636,24,0,0,0
14:05:32,14:06:31,14:06:01,11161,11132,59,1,1,0
14:07:02,14:07:40,14:07:21,11241,11222,38,0,1,0
14:11:04,14:11:13,14:11:08,11468,11464,9,1,0,0
14:11:21,14:13:51,14:12:36,11556,11481,150,1,1,0
15:01:56,15:02:16,15:02:06,14526,14516,20,0,0,0
15:41:55,15:43:04,15:42:29,16949,16915,69,1,1,0
16:39:38,16:41:44,16:40:41,20441,20378,126,1,1,0
16:41:52,16:46:04,16:43:58,20638,20512,252,1,1,0
16:46:11,16:49:40,16:47:55,20875,20771,209,1,1,0
16:51:03,16:51:45,16:51:24,21084,21063,42,1,1,0
16:52:35,16:53:26,16:53:00,21180,21155,51,1,1,0
17:12:54,17:13:18,17:13:06,22386,22374,24,1,0,0
17:36:24,17:37:04,17:36:44,23804,23784,40,0,1,0
