start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:57:10,11:01:40,10:59:25,-35,-170,270,0,1,0
11:05:58,11:06:40,11:06:19,379,358,42,0,1,0
11:23:38,11:24:24,11:24:01,1441,1418,46,0,1,0
11:52:32,11:53:00,11:52:46,3166,3152,28,0,0,0
12:10:44,12:13:12,12:11:58,4318,4244,148,0,1,0
12:44:30,12:45:28,12:44:59,6299,6270,58,0,1,0
13:54:54,13:57:10,13:56:02,10562,10494,136,0,1,0
14:08:02,14:08:30,14:08:16,11296,11282,28,0,0,0
14:10:10,14:10:42,14:10:26,11426,11410,32,0,1,0
15:19:00,15:19:22,15:19:11,15551,15540,22,0,0,0
15:56:54,15:58:14,15:57:34,17854,17814,80,0,1,0
16:41:16,16:41:38,16:41:27,20487,20476,22,0,0,0
