start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:57:10,11:01:10,10:59:10,-50,-170,240,0,1,0
11:05:43,11:06:17,11:06:00,360,343,34,1,1,0
11:23:16,11:24:42,11:23:59,1439,1396,86,0,1,0
11:32:04,11:32:30,11:32:17,1937,1924,26,0,0,0
11:33:14,11:45:39,11:39:26,2366,1994,745,1,1,0
12:44:40,12:46:21,12:45:30,6330,6280,101,1,1,0
13:06:48,13:43:14,13:25:01,8701,7608,2186,0,1,0
13:44:18,13:49:46,13:47:02,10022,9858,328,0,1,0
14:09:52,14:10:26,14:10:09,11409,11392,34,1,1,0
15:13:24,15:17:52,15:15:38,15338,15204,268,1,1,0
15:18:38,15:56:45,15:37:41,16661,15518,2287,0,1,1
15:56:46,15:56:55,15:56:50,17810,17806,9,1,1,1
15:56:56,15:57:10,15:57:03,17823,17816,14,0,1,1
15:57:11,16:01:20,15:59:15,17955,17831,249,1,1,1
16:40:41,16:41:40,16:41:10,20470,20441,59,1,1,0
16:41:57,16:43:04,16:42:30,20550,20517,67,1,1,0
16:50:08,16:50:34,16:50:21,21021,21008,26,1,0,0
17:35:48,17:36:46,17:36:17,23777,23748,58,1,1,0
