start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:57:00,11:01:22,10:59:11,-49,-180,262,0,1,0
11:06:01,11:06:09,11:06:05,365,361,8,1,0,0
11:26:37,11:26:55,11:26:46,1606,1597,18,1,0,0
11:33:27,11:33:52,11:33:39,2019,2007,25,1,0,0
11:34:08,11:34:34,11:34:21,2061,2048,26,1,0,0
13:06:50,13:10:08,13:08:29,7709,7610,198,0,1,0
13:10:22,13:43:14,13:26:48,8808,7822,1972,0,1,0
13:44:15,13:45:31,13:44:53,9893,9855,76,1,1,1
13:45:32,13:45:38,13:45:35,9935,9932,6,0,1,1
13:45:39,13:45:55,13:45:47,9947,9939,16,1,1,1
13:45:56,13:46:54,13:46:25,9985,9956,58,0,1,1
13:46:55,13:49:01,13:47:58,10078,10015,126,1,1,1
13:49:02,13:49:44,13:49:23,10163,10142,42,0,1,1
13:54:42,13:57:05,13:55:53,10553,10482,143,1,1,0
13:57:14,14:01:49,13:59:31,10771,10634,275,1,1,2
14:01:50,14:02:20,14:02:05,10925,10910,30,0,1,2
14:06:46,14:07:26,14:07:06,11226,11206,40,0,1,0
14:08:12,14:09:16,14:08:44,11324,11292,64,0,1,0
14:09:50,14:10:01,14:09:55,11395,11390,11,0,1,3
14:10:02,14:10:36,14:10:19,11419,11402,34,1,1,3
15:05:32,15:05:54,15:05:43,14743,14732,22,0,0,0
15:18:35,15:18:44,15:18:39,15519,15515,9,1,1,4
15:18:45,15:19:16,15:19:00,15540,15525,31,0,1,4
15:35:31,15:36:37,15:36:04,16564,16531,66,1,1,5
15:36:38,15:37:00,15:36:49,16609,16598,22,0,1,5
15:57:17,15:58:22,15:57:49,17869,17837,65,1,1,0
16:40:40,16:41:05,16:40:52,20452,20440,25,0,1,6
16:41:06,16:41:31,16:41:18,20478,20466,25,1,1,6
16:41:32,16:43:40,16:42:36,20556,20492,128,0,1,6
16:50:09,16:50:33,16:50:21,21021,21009,24,1,0,0
17:34:34,17:34:51,17:34:42,23682,23674,17,1,1,7
17:34:52,17:34:58,17:34:55,23695,23692,6,0,1,7
17:34:59,17:35:42,17:35:20,23720,23699,43,1,1,7
17:58:42,18:04:14,18:01:28,25288,25122,332,0,1,0
