start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:56:56,11:01:16,10:59:06,-54,-184,260,0,1,0
11:05:24,11:05:33,11:05:28,328,324,9,1,1,1
11:05:34,11:05:40,11:05:37,337,334,6,0,1,1
11:05:41,11:05:58,11:05:49,349,341,17,1,1,1
11:05:59,11:06:40,11:06:19,379,359,41,0,1,1
11:23:30,11:23:39,11:23:34,1414,1410,9,1,1,2
11:23:40,11:24:03,11:23:51,1431,1420,23,0,1,2
11:24:04,11:24:37,11:24:20,1460,1444,33,1,1,2
11:24:38,11:25:16,11:24:57,1497,1478,38,0,1,2
11:59:05,11:59:38,11:59:21,3561,3545,33,1,1,0
11:59:46,11:59:55,11:59:50,3590,3586,9,1,0,0
12:30:49,12:44:40,12:37:44,5864,5449,831,1,1,0
12:56:32,13:01:49,12:59:10,7150,6992,317,1,1,0
13:44:26,13:49:42,13:47:04,10024,9866,316,1,1,0
14:07:58,14:09:14,14:08:36,11316,11278,76,1,1,3
14:09:15,14:09:21,14:09:18,11358,11355,6,0,1,3
14:09:22,14:09:39,14:09:30,11370,11362,17,1,1,3
14:09:40,14:11:22,14:10:31,11431,11380,102,0,1,3
14:11:36,14:11:45,14:11:40,11500,11496,9,1,0,0
14:12:02,14:12:26,14:12:14,11534,11522,24,0,0,0
14:12:32,14:16:24,14:14:28,11668,11552,232,0,1,0
14:20:20,14:21:06,14:20:43,12043,12020,46,0,1,0
14:21:28,14:24:08,14:22:48,12168,12088,160,0,1,0
15:03:05,15:03:30,15:03:17,14597,14585,25,1,0,0
15:37:02,15:37:46,15:37:24,16644,16622,44,0,1,4
15:37:47,15:46:31,15:42:09,16929,16667,524,1,1,4
16:45:12,16:46:04,16:45:38,20738,20712,52,1,1,5
16:46:05,16:46:52,16:46:28,20788,20765,47,0,1,5
16:46:53,16:50:32,16:48:42,20922,20813,219,1,1,5
16:50:33,16:55:06,16:52:49,21169,21033,273,0,1,5
17:03:26,17:04:49,17:04:07,21847,21806,83,1,1,6
17:04:50,17:05:08,17:04:59,21899,21890,18,0,1,6
17:13:00,17:13:22,17:13:11,22391,22380,22,0,1,0
17:37:01,17:38:05,17:37:33,23853,23821,64,1,1,0
