start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:00:02,11:02:00,11:01:01,61,2,118,0,1,0
11:03:48,11:04:19,11:04:03,243,228,31,1,1,0
11:24:13,11:24:35,11:24:24,1464,1453,22,1,1,1
11:24:36,11:24:54,11:24:45,1485,1476,18,0,1,1
13:30:33,13:30:58,13:30:45,9045,9033,25,1,0,0
13:31:07,13:31:24,13:31:15,9075,9067,17,1,0,0
13:31:32,13:32:12,13:31:52,9112,9092,40,1,1,2
13:32:13,13:32:44,13:32:27,9147,9133,29,0,1,2
13:32:45,13:33:19,13:33:02,9182,9165,34,1,1,2
13:33:32,13:33:50,13:33:41,9221,9212,18,0,0,0
13:36:46,13:37:12,13:36:59,9419,9406,26,1,1,3
13:37:13,13:37:20,13:37:16,9436,9433,7,0,1,3
13:41:00,13:41:25,13:41:12,9672,9660,25,1,0,0
14:11:18,14:11:58,14:11:38,11498,11478,40,1,1,0
14:22:59,14:24:57,14:23:58,12238,12179,118,1,1,0
14:25:56,14:27:07,14:26:31,12391,12356,71,1,1,0
15:02:24,15:02:41,15:02:32,14552,14544,17,1,0,0
15:42:18,15:42:54,15:42:36,16956,16938,36,0,1,0
17:03:50,17:05:10,17:04:30,21870,21830,80,1,1,0
17:20:32,17:21:40,17:21:06,22866,22832,68,0,1,0
19:02:22,19:02:39,19:02:30,28950,28942,17,1,0,0
19:12:53,19:15:15,19:14:04,29644,29573,142,1,1,0
